council_short,FMP_FEP,stock,common_name,sci_name,type,p_star,abc_buffer,acl_buffer,act_buffer,notes,ref
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,tomtate,Haemulon aurolineatum,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,bluestriped grunt,Haemulon sciurus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,French grunt,Haemulon flavolineatum,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,porkfish,Anisotremus virginicus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,White grunt,Haemulon plumieri,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,margate,Haemulon album,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,tomtate,Haemulon aurolineatum,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,bluestriped grunt,Haemulon sciurus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,French grunt,Haemulon flavolineatum,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,porkfish,Anisotremus virginicus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,Blue runner,Caranx crysos,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,horse-eye jack,Caranx latus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,black jack,Caranx lugubris,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,almaco jack,Seriola rivoliana,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,bar jack,Caranx ruber,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,greater amberjack,Seriola dumerili,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,yellow jack,Caranx bartholornaei,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,Blue runner,Caranx crysos,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,horse-eye jack,Caranx latus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,black jack,Caranx lugubris,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,almaco jack,Seriola rivoliana,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,bar jack,Caranx ruber,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,greater amberjack,Seriola dumerili,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,yellow jack,Caranx bartholornaei,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,Blue runner,Caranx crysos,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,horse-eye jack,Caranx latus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,black jack,Caranx lugubris,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,almaco jack,Seriola rivoliana,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,bar jack,Caranx ruber,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,greater amberjack,Seriola dumerili,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,yellow jack,Caranx bartholornaei,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,Blue parrotfish,Scarus coeruleus,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,midnight parrotfish,Scarus coelestinus,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,rainbow parrotfish,Scarus guacamaia,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,queen parrotfish,Scarus vetula,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,redfin parrotfish,Sparisoma rubripinne,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,redtail parrotfish,Sparisoma chrysopterum,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,stoplight parrotfish,Sparisoma viride,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,redband parrotfish,Sparisoma aurofrenatum,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,striped parrotfish,Scarus croicensis,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,Blue parrotfish,Scarus coeruleus,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,midnight parrotfish,Scarus coelestinus,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,rainbow parrotfish,Scarus guacamaia,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,queen parrotfish,Scarus vetula,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,redfin parrotfish,Sparisoma rubripinne,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,redtail parrotfish,Sparisoma chrysopterum,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,stoplight parrotfish,Sparisoma viride,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,redband parrotfish,Sparisoma aurofrenatum,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,striped parrotfish,Scarus croicensis,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,Blue parrotfish,Scarus coeruleus,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,midnight parrotfish,Scarus coelestinus,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,rainbow parrotfish,Scarus guacamaia,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,queen parrotfish,Scarus vetula,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,redfin parrotfish,Sparisoma rubripinne,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,redtail parrotfish,Sparisoma chrysopterum,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,stoplight parrotfish,Sparisoma viride,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,redband parrotfish,Sparisoma aurofrenatum,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,striped parrotfish,Scarus croicensis,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,Jolthead porgy,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,sea bream,,constant catch,NA,0,0.1,0,,
