council,council_short,FMP_FEP,stock,common_name,sci_name,tier_level,type,notes,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,scrawled cowfish,Lactophrys guadricornis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,trunkfish,Lactophrys trigonus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,spotted trunkfish,Lactophrys bicaudalis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,smooth trunkfish,Lactophrys trigueter,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Goatfish,Spotted goatfish,Pseudupeneus maculatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Goatfish,yellow goatfish,Mulloidichthys martinicus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Goatfish,Spotted goatfish,Pseudupeneus maculatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Goatfish,yellow goatfish,Mulloidichthys martinicus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Goatfish,Spotted goatfish,Pseudupeneus maculatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Goatfish,yellow goatfish,Mulloidichthys martinicus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,Nassau grouper,Epinephelus striatus,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,goliath grouper,Epinephelus itajara,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,coney,Epinephelus fulvus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,graysby,Epinephelus cruentatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,red hind,Epinephelus guttatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,rock hind,Epinephelus adscensionis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,black grouper,Mycteroperca bonaci,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,red grouper,Epinephelus morio,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,tiger grouper,Mycteroperca tigris,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,yellowfin grouper,Mycteroperca venenosa,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,misty grouper,Epinephelus mystacinus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,yellowedge grouper,Epinephelus flavolimbatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,Nassau grouper,Epinephelus striatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,goliath grouper,Epinephelus itajara,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,coney,Epinephelus fulvus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,graysby,Epinephelus cruentatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,red hind,Epinephelus guttatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,rock hind,Epinephelus adscensionis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,black grouper,Mycteroperca bonaci,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,red grouper,Epinephelus morio,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,tiger grouper,Mycteroperca tigris,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,yellowfin grouper,Mycteroperca venenosa,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,misty grouper,Epinephelus mystacinus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,yellowedge grouper,Epinephelus flavolimbatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,Nassau grouper,Epinephelus striatus,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,goliath grouper,Epinephelus itajara,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,coney,Epinephelus fulvus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,graysby,Epinephelus cruentatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,red hind,Epinephelus guttatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,rock hind,Epinephelus adscensionis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,black grouper,Mycteroperca bonaci,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,red grouper,Epinephelus morio,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,tiger grouper,Mycteroperca tigris,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,yellowfin grouper,Mycteroperca venenosa,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,misty grouper,Epinephelus mystacinus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,yellowedge grouper,Epinephelus flavolimbatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,White grunt,Haemulon plumieri,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,margate,Haemulon album,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,tomtate,Haemulon aurolineatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,bluestriped grunt,Haemulon sciurus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,French grunt,Haemulon flavolineatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,porkfish,Anisotremus virginicus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,White grunt,Haemulon plumieri,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,margate,Haemulon album,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,tomtate,Haemulon aurolineatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,bluestriped grunt,Haemulon sciurus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,French grunt,Haemulon flavolineatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,porkfish,Anisotremus virginicus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,White grunt,Haemulon plumieri,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,margate,Haemulon album,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,tomtate,Haemulon aurolineatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,bluestriped grunt,Haemulon sciurus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,French grunt,Haemulon flavolineatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,porkfish,Anisotremus virginicus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,Blue runner,Caranx crysos,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,horse-eye jack,Caranx latus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,black jack,Caranx lugubris,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,almaco jack,Seriola rivoliana,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,bar jack,Caranx ruber,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,greater amberjack,Seriola dumerili,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,yellow jack,Caranx bartholornaei,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,Blue runner,Caranx crysos,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,horse-eye jack,Caranx latus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,black jack,Caranx lugubris,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,almaco jack,Seriola rivoliana,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,bar jack,Caranx ruber,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,greater amberjack,Seriola dumerili,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,yellow jack,Caranx bartholornaei,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,Blue runner,Caranx crysos,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,horse-eye jack,Caranx latus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,black jack,Caranx lugubris,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,almaco jack,Seriola rivoliana,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,bar jack,Caranx ruber,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,greater amberjack,Seriola dumerili,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,yellow jack,Caranx bartholornaei,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,Blue parrotfish,Scarus coeruleus,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,midnight parrotfish,Scarus coelestinus,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,rainbow parrotfish,Scarus guacamaia,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,queen parrotfish,Scarus vetula,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,redfin parrotfish,Sparisoma rubripinne,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,redtail parrotfish,Sparisoma chrysopterum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,stoplight parrotfish,Sparisoma viride,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,redband parrotfish,Sparisoma aurofrenatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,striped parrotfish,Scarus croicensis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,Blue parrotfish,Scarus coeruleus,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,midnight parrotfish,Scarus coelestinus,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,rainbow parrotfish,Scarus guacamaia,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,queen parrotfish,Scarus vetula,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,redfin parrotfish,Sparisoma rubripinne,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,redtail parrotfish,Sparisoma chrysopterum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,stoplight parrotfish,Sparisoma viride,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,redband parrotfish,Sparisoma aurofrenatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,striped parrotfish,Scarus croicensis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,Blue parrotfish,Scarus coeruleus,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,midnight parrotfish,Scarus coelestinus,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,rainbow parrotfish,Scarus guacamaia,NA,harvest is prohibited,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,queen parrotfish,Scarus vetula,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,redfin parrotfish,Sparisoma rubripinne,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,redtail parrotfish,Sparisoma chrysopterum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,stoplight parrotfish,Sparisoma viride,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,redband parrotfish,Sparisoma aurofrenatum,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,striped parrotfish,Scarus croicensis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,Jolthead porgy,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,sea bream,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,sheepshead porgy,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,pluma,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,Jolthead porgy,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,sea bream,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,sheepshead porgy,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,pluma,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,Jolthead porgy,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,sea bream,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,sheepshead porgy,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,pluma,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,Black snapper,Apsilus dentatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,blackfin snapper,Lutjanus buccanella,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,silk snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,vermilion snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,wenchman,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 2,Cardinal snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 2,queen snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,Gray snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,lane snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,mutton snapper,Lutjanus analis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,dog snapper,Lutjanus jocu,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,schoolmaster,Lutjanus apodus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,mahogany snapper,Lutjanus mahogani,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 4,Yellowtail snapper,Ocyurus chrysurus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Black snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,blackfin snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,silk snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,vermilion snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,wenchman,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Cardinal snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,queen snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Gray snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,lane snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,mutton snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,dog snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,schoolmaster,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,mahogany snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Yellowtail snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Black snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,blackfin snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,silk snapper,,NA,constant catch,,,,,,
