"council","stock_name","stock_area","comm_name","sci_name"
"NPFMC","Chinook salmon - Eastern North Pacific Far North Migrating","Eastern North Pacific Far North Migrating","Chinook salmon","Oncorhynchus tshawytscha"
"NPFMC","Coho salmon - Auke Creek","Auke Creek","Coho salmon","Oncorhynchus kisutch"
"NPFMC","Coho salmon - Berners River","Berners River","Coho salmon","Oncorhynchus kisutch"
"NPFMC","Coho salmon - Ford Arm Lake","Ford Arm Lake","Coho salmon","Oncorhynchus kisutch"
"NPFMC","Coho salmon - Hugh Smith Lake","Hugh Smith Lake","Coho salmon","Oncorhynchus kisutch"
"NPFMC","Dover sole - Gulf of Alaska","Gulf of Alaska","Dover sole","Microstomus pacificus"
"NPFMC","Dusky rockfish - Gulf of Alaska","Gulf of Alaska","Dusky rockfish","Sebastes variabilis"
"NPFMC","Flathead sole - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Flathead sole","Hippoglossoides elassodon"
"NPFMC","Flathead sole - Gulf of Alaska","Gulf of Alaska","Flathead sole","Hippoglossoides elassodon"
"NPFMC","Giant octopus - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Giant octopus","Enteroctopus dofleini"
"NPFMC","Giant octopus - Gulf of Alaska","Gulf of Alaska","Giant octopus","Enteroctopus dofleini"
"NPFMC","Golden king crab - Aleutian Islands","Aleutian Islands","Golden king crab","Lithodes aequispinus"
"NPFMC","Golden king crab - Eastern Aleutian Islands","Eastern Aleutian Islands","Golden king crab","Lithodes aequispinus"
"NPFMC","Golden king crab - Pribilof Islands","Pribilof Islands","Golden king crab","Lithodes aequispinus"
"NPFMC","Golden king crab - Western Aleutian Islands","Western Aleutian Islands","Golden king crab","Lithodes aequispinus"
"NPFMC","Greenland halibut - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Greenland halibut","Reinhardtius hippoglossoides"
"NPFMC","Kamchatka flounder - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Kamchatka flounder","Reinhardtius evermanni"
"NPFMC","Longnose skate - Gulf of Alaska","Gulf of Alaska","Longnose skate","Raja rhina"
"NPFMC","Northern rock sole - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Northern rock sole","Lepidopsetta polyxystra"
"NPFMC","Northern rock sole - Gulf of Alaska","Gulf of Alaska","Northern rock sole","Lepidopsetta polyxystra"
"NPFMC","Northern rockfish - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Northern rockfish","Sebastes polyspinis"
"NPFMC","Northern rockfish - Western / Central Gulf of Alaska","Western / Central Gulf of Alaska","Northern rockfish","Sebastes polyspinis"
"NPFMC","Pacific cod - Aleutian Islands","Aleutian Islands","Pacific cod","Gadus macrocephalus"
"NPFMC","Pacific cod - Bering Sea","Bering Sea","Pacific cod","Gadus macrocephalus"
"NPFMC","Pacific cod - Gulf of Alaska","Gulf of Alaska","Pacific cod","Gadus macrocephalus"
"NPFMC","Pacific ocean perch - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Pacific ocean perch","Sebastes alutus"
"NPFMC","Pacific ocean perch - Gulf of Alaska","Gulf of Alaska","Pacific ocean perch","Sebastes alutus"
"NPFMC","Red king crab - Bristol Bay","Bristol Bay","Red king crab","Paralithodes camtschaticus"
"NPFMC","Red king crab - Norton Sound","Norton Sound","Red king crab","Paralithodes camtschaticus"
"NPFMC","Red king crab - Pribilof Islands","Pribilof Islands","Red king crab","Paralithodes camtschaticus"
"NPFMC","Red king crab - Western Aleutian Islands","Western Aleutian Islands","Red king crab","Paralithodes camtschaticus"
"NPFMC","Rock sole - Gulf of Alaska","Gulf of Alaska","Rock sole","Lepidopsetta bilineata"
"NPFMC","Rougheye rockfish - Gulf of Alaska","Gulf of Alaska","Rougheye rockfish","Sebastes aleutianus"
"NPFMC","Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Sablefish","Anoplopoma fimbria"
"NPFMC","Shortraker rockfish - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Shortraker rockfish","Sebastes borealis"
"NPFMC","Shortraker rockfish - Gulf of Alaska","Gulf of Alaska","Shortraker rockfish","Sebastes borealis"
"NPFMC","Shortspine thornyhead - Gulf of Alaska","Gulf of Alaska","Shortspine thornyhead","Sebastolobus alascanus"
"NPFMC","Snow crab - Bering Sea","Bering Sea","Snow crab","Chionoecetes opilio"
"NPFMC","Southern Tanner crab - Bering Sea","Bering Sea","Southern Tanner crab","Chionoecetes bairdi"
"NPFMC","Walleye pollock - Aleutian Islands","Aleutian Islands","Walleye pollock","Gadus chalcogrammus"
"NPFMC","Walleye pollock - Bogoslof","Bogoslof","Walleye pollock","Gadus chalcogrammus"
"NPFMC","Walleye pollock - Eastern Bering Sea","Eastern Bering Sea","Walleye pollock","Gadus chalcogrammus"
"NPFMC","Walleye pollock - Southeast Gulf of Alaska","Southeast Gulf of Alaska","Walleye pollock","Gadus chalcogrammus"
"NPFMC","Walleye pollock - Western / Central / West Yakutat Gulf of Alaska","Western / Central / West Yakutat Gulf of Alaska","Walleye pollock","Gadus chalcogrammus"
"NPFMC","Weathervane scallop - Alaska","Alaska","Weathervane scallop","Patinopecten caurinus"
"NPFMC","Yelloweye rockfish - Gulf of Alaska","Gulf of Alaska","Yelloweye rockfish","Sebastes ruberrimus"
"NPFMC","Yellowfin sole - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Yellowfin sole","Limanda aspera"
"NPFMC","Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex",NA,NA,NA
"NPFMC","Bering Sea / Aleutian Islands Other Flatfish Complex",NA,NA,NA
"NPFMC","Bering Sea / Aleutian Islands Other Rockfish Complex",NA,NA,NA
