"stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name"
"GAGSATLC","Gag Southern Atlantic coast","SEFSC-GAGSATLC-1962-2012-SISIMP2016","SEFSC","BAM","USA","US Southeast and Gulf","Southern Atlantic coast","Serranidae","Mycteroperca microlepis","Gag"
"GHALBSAI","Greenland halibut Bering Sea and Aleutian Islands","AFSC-GHALBSAI-1960-2015-HIVELY","AFSC","SS3","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut"
"GLGROUPSATLCGM","Goliath grouper Southern Atlantic coast and Gulf of Mexico","SEFSC-GLGROUPSATLCGM-1950-2009-SISIMP2016","SEFSC","Unknown","USA","US Southeast and Gulf","Southern Atlantic coast and Gulf of Mexico","Serranidae","Epinephelus itajara","Goliath grouper"
"GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","SWFSC","SS2","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes carnatus","Gopher rockfish"
"GPOCTOBSAI","Giant Pacific octopus Bering Sea and Aleutian Islands","AFSC-GPOCTOBSAI-1997-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Enteroctopodidae","Enteroctopus dofleini","Giant pacific octopus"
"GPOCTOGA","Giant Pacific octopus Gulf of Alaska","AFSC-GPOCTOGA-1997-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Enteroctopodidae","Enteroctopus dofleini","Giant pacific octopus"
"GRAMBERGM","Greater amberjack Gulf of Mexico","SEFSC-GRAMBERGM-1950-2012-SISIMP2016","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Carangidae","Seriola dumerili","Greater amberjack"
"GRAMBERSATLC","Greater amberjack Southern Atlantic coast","SEFSC-GRAMBERSATLC-1946-2006-JENSEN","SEFSC","SCA","USA","US Southeast and Gulf","Southern Atlantic coast","Carangidae","Seriola dumerili","Greater amberjack"
"GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","PFMC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes elongatus","Greenstriped rockfish"
"GRSPROCKNCAL","Greenspotted rockfish Northern Pacific Coast","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","SWFSC","SS3","USA","US West Coast","Northern Pacific Coast","Sebastidae","Sebastes chlorostictus","Greenspotted rockfish"
"GRSPROCKSCAL","Greenspotted rockfish Southern Pacific Coast","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","SWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes chlorostictus","Greenspotted rockfish"
"GTRIGGM","Gray triggerfish Gulf of Mexico","SEFSC-GTRIGGM-1945-2013-SISIMP2016","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Balistidae","Balistes capriscus","Gray triggerfish"
"HAD5Y","Haddock Gulf of Maine","NEFSC-HAD5Y-1977-2014-SISIMP2016","NEFSC","ASAP","USA","US East Coast","Gulf of Maine","Gadidae","Melanogrammus aeglefinus","Haddock"
"HADGB","Haddock Georges Bank","NEFSC-HADGB-1960-2014-SISIMP2016","NEFSC","VPA","USA","US East Coast","Georges Bank","Gadidae","Melanogrammus aeglefinus","Haddock"
"HERRNWATLC","Herring Northwestern Atlantic Coast","NEFSC-HERRNWATLC-1965-2014-SISIMP2016","NEFSC","ASAP","USA","US East Coast","Northwestern Atlantic Coast","Clupeidae","Clupea harengus","Herring"
"HERRPWS","Pacific herring Prince William Sound","ADFG-HERRPWS-1980-2006-COLLIE","ADFG","AD-CAM","USA","US Alaska","Prince William Sound","Clupeidae","Clupea pallasii pallasii","Pacific herring"
"HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE","ADFG","AD-CAM","USA","US Alaska","Sitka","Clupeidae","Clupea pallasii pallasii","Pacific herring"
"HERRTOG","Pacific herring Togiak District","ADFG-HERRTOG-1990-2010-HIVELY","ADFG","Unknown","USA","US Alaska","Togiak District","Clupeidae","Clupea pallasii pallasii","Pacific herring"
"ILLEXNWATLC","Northern shortfin squid Northwestern Atlantic Coast","NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON","NEFSC","AAPM","USA","US East Coast","Northwestern Atlantic Coast","Ommastrephidae","Illex illecebrosus","Northern shortfin squid"
"KELPGREENLINGORECOAST","Kelp greenling Oregon Coast","NWFSC-KELPGREENLINGORECOAST-1915-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Oregon Coast","Hexagrammidae","Hexagrammos decagrammus","Kelp greenling"
"KMACKGM","King mackerel Gulf of Mexico","SEFSC-KMACKGM-1929-2012-HIVELY","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Scombridae","Scomberomorus cavalla","King mackerel"
"KMACKSATLC","King mackerel Southern Atlantic coast","SEFSC-KMACKSATLC-1901-2012-HIVELY","SEFSC","SS3","USA","US Southeast and Gulf","Southern Atlantic coast","Scombridae","Scomberomorus cavalla","King mackerel"
"KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands","AFSC-KMFLOUNBSAI-1991-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Atheresthes evermanni","Kamchatka flounder"
"LINGCODNPCOAST","Lingcod Northern Pacific Coast","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","NWFSC","SS3","USA","US West Coast","Northern Pacific Coast","Hexagrammidae","Ophiodon elongatus","Lingcod"
"LINGCODSPCOAST","Lingcod Southern Pacific Coast","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","NWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Hexagrammidae","Ophiodon elongatus","Lingcod"
"LISQUIDATLC","Longfin inshore squid Atlantic Coast","SEFSC-LISQUIDATLC-1963-2009-HIVELY","SEFSC","Survey indices","USA","US Southeast and Gulf","Atlantic Coast","Loliginidae","Doryteuthis pealeii","Longfin inshore squid"
"LNOSESKAPCOAST","Longnose skate Pacific Coast","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","NWFSC","SS2","USA","US West Coast","Pacific Coast","Rajidae","Beringraja rhina","Longnose skate"
"LOBSTERGB","American lobster Georges Bank","ASMFC-LOBSTERGB-1981-2007-STANTON","ASMFC","CSM","USA","US East Coast","Georges Bank","Nephropidae","Homarus americanus","American lobster"
"LOBSTERGOM","American lobster Gulf of Maine","ASMFC-LOBSTERGOM-1981-2007-STANTON","ASMFC","CSM","USA","US East Coast","Gulf of Maine","Nephropidae","Homarus americanus","American lobster"
"LOBSTERSNE","American lobster Southern New England","ASMFC-LOBSTERSNE-1981-2007-STANTON","ASMFC","CSM","USA","US East Coast","Southern New England","Nephropidae","Homarus americanus","American lobster"
"LSKAT5YCHATT","Little skate Gulf of Maine / Cape Hatteras","NEFSC-LSKAT5YCHATT-1968-2006-SOSEBEE","NEFSC","Survey indices","USA","US East Coast","Gulf of Maine / Cape Hatteras","Rajidae","Leucoraja erinacea","Little skate"
"LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastolobus altivelis","Longspine thornyhead"
"MENATGM","Gulf menhaden Gulf of Mexico","SEFSC-MENATGM-1948-2017-ASHBROOK","SEFSC","BAM","USA","US Southeast and Gulf","Gulf of Mexico","Clupeidae","Brevoortia patronus","Gulf menhaden"
"MENATLAN","Atlantic menhaden Atlantic","ASMFC-MENATLAN-1940-2017-ASHBROOK","ASMFC","BAM","USA","US East Coast","Atlantic","Clupeidae","Brevoortia tyrannus","Atlantic menhaden"
"MONKGOMNGB","Monkfish Gulf of Maine / Northern Georges Bank","NEFSC-MONKGOMNGB-1979-2010-SISIMP2016","NEFSC","SCALE","USA","US East Coast","Gulf of Maine / Northern Georges Bank","Lophiidae","Lophius americanus","Monkfish"
"MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","NEFSC-MONKSGBMATL-1979-2010-SISIMP2016","NEFSC","SCALE","USA","US East Coast","Southern Georges Bank / Mid-Atlantic","Lophiidae","Lophius americanus","Monkfish"
"MUTSNAPSATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico","SEFSC-MUTSNAPSATLCGM-1981-2013-SISIMP2016","SEFSC","ASAP","USA","US Southeast and Gulf","Southern Atlantic coast and Gulf of Mexico","Lutjanidae","Lutjanus analis","Mutton snapper"
"NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands","AFSC-NROCKBSAI-1977-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Sebastidae","Sebastes polyspinis","Northern rockfish"
"NROCKGA","Northern rockfish Gulf of Alaska","AFSC-NROCKGA-1961-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes polyspinis","Northern rockfish"
"NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","AFSC-NRSOLEEBSAI-1975-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Eastern Bering Sea and Aleutian Islands","Pleuronectidae","Lepidopsetta polyxystra","Northern rock sole"
"NRSOLEGA","Northern rock sole Gulf of Alaska","AFSC-NRSOLEGA-1977-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Lepidopsetta polyxystra","Northern rock sole"
"OPOUTNWATLC","Ocean pout Northwestern Atlantic Coast","NEFSC-OPOUTNWATLC-1968-2014-SISIMP2016","NEFSC","Unknown","USA","US East Coast","Northwestern Atlantic Coast","Zoarcidae","Zoarces americanus","Ocean pout"
"PANDALGOM","Northern shrimp Gulf of Maine","ASMFC-PANDALGOM-1960-2009-IDOINE","ASMFC","CSA","USA","US East Coast","Gulf of Maine","Pandalidae","Pandalus borealis","Northern shrimp"
"PCODAI","Pacific cod Aleutian Islands","AFSC-PCODAI-1991-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Aleutian Islands","Gadidae","Gadus macrocephalus","Pacific cod"
"PCODBS","Pacific cod Bering Sea","AFSC-PCODBS-1977-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Bering Sea","Gadidae","Gadus macrocephalus","Pacific cod"
"PCODGA","Pacific cod Gulf of Alaska","AFSC-PCODGA-1977-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Gulf of Alaska","Gadidae","Gadus macrocephalus","Pacific cod"
"PERCHEBSAI","Pacific ocean perch Eastern Bering Sea and Aleutian Islands","AFSC-PERCHEBSAI-1960-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Eastern Bering Sea and Aleutian Islands","Sebastidae","Sebastes alutus","Pacific ocean perch"
"PGEODWA","Pacific geoduck Washington","WDFW-PGEODWA-1980-2010-HIVELY","WDFW","Unknown","USA","US West Coast","Washington","Hiatellidae","Panopea generosa","Pacific geoduck"
"PHAKEPCOAST","Pacific hake Pacific Coast","PFMC-PHAKEPCOAST-1966-2016-WATSON","PFMC","SS3","USA","US West Coast","Pacific Coast","Merlucciidae","Merluccius productus","Pacific hake"
"PINKSHRIMPGM","Pink shrimp Gulf of Mexico","SEFSC-PINKSHRIMPGM-1984-2013-SISIMP2016","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Penaeidae","Farfantepenaeus duorarum","Pink shrimp"
"POLL5YZ","Pollock Gulf of Maine / Georges Bank","NEFSC-POLL5YZ-1970-2014-SISIMP2016","NEFSC","ASAP","USA","US East Coast","Gulf of Maine / Georges Bank","Gadidae","Pollachius virens","Pollock"
"POPERCHGA","Pacific ocean perch Gulf of Alaska","AFSC-POPERCHGA-1961-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes alutus","Pacific ocean perch"
"POPERCHPCOAST","Pacific ocean perch Pacific Coast","NWFSC-POPERCHPCOAST-1940-2011-STACHURA","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes alutus","Pacific ocean perch"
"PSALMAFFLECKCI","Pink salmon Affleck Cl (District105)","ADFG-PSALMAFFLECKCI-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Affleck Cl (District105)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMAFOGNAKD","Pink salmon Afognak District","ADFG-PSALMAFOGNAKD-1978-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Afognak District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMAIALIKL","Pink salmon Aialik Lagoon (Eastern D)","ADFG-PSALMAIALIKL-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Aialik Lagoon (Eastern D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMAKPNWD","Pink salmon AK Pen Northwestern District","ADFG-PSALMAKPNWD-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","AK Pen Northwestern District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMAKPSESCD","Pink salmon AK Pen Southeastern and South-central Districts","ADFG-PSALMAKPSESCD-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","AK Pen Southeastern and South-central Districts","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMAKPSWUD","Pink salmon AK Pen Southwestern and Unimak Districts","ADFG-PSALMAKPSWUD-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","AK Pen Southwestern and Unimak Districts","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMALITAKD","Pink salmon Alitak District","ADFG-PSALMALITAKD-1978-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Alitak District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMAMAKC","Pink salmon Amakdedori Creek (Kamishak D)","ADFG-PSALMAMAKC-1960-1997-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Amakdedori Creek (Kamishak D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMANAN","Pink salmon Anan (District107)","ADFG-PSALMANAN-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Anan (District107)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMAUKEC","Pink salmon Auke Creek (Northern Inside)","ADFG-PSALMAUKEC-1971-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Auke Creek (Northern Inside)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMBARABARA","Pink salmon Barabara (Southern D)","ADFG-PSALMBARABARA-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Barabara (Southern D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMBARANOFE","Pink salmon Baranof E (District109)","ADFG-PSALMBARANOFE-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Baranof E (District109)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMBKAMISHAKR","Pink salmon Big Kamishak River  (Kamishak D)","ADFG-PSALMBKAMISHAKR-1962-1996-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Big Kamishak River  (Kamishak D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMBRUINR","Pink salmon Bruin River","ADFG-PSALMBRUINR-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Bruin River","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMBURNETT","Pink salmon Burnett (District106)","ADFG-PSALMBURNETT-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Burnett (District106)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMCHIGNIKBD","Pink salmon Chignik Bay District","ADFG-PSALMCHIGNIKBD-1962-1997-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Chignik Bay District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMCHIGNIKCD","Pink salmon Chignik Central District","ADFG-PSALMCHIGNIKCD-1962-1997-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Chignik Central District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMCHIGNIKED","Pink salmon Chignik Eastern District","ADFG-PSALMCHIGNIKED-1962-1997-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Chignik Eastern District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMCHIGNIKWD","Pink salmon Chignik Western District","ADFG-PSALMCHIGNIKWD-1962-1997-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Chignik Western District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMCHINAP","Pink salmon China Poot (Southern D)","ADFG-PSALMCHINAP-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","China Poot (Southern D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMCOGHILLD","Pink salmon Coghill District","ADFG-PSALMCOGHILLD-1965-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Coghill District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMDOGFISH","Pink salmon Dogfish (Southern D)","ADFG-PSALMDOGFISH-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Dogfish (Southern D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMDOSEWHC","Pink salmon Dosewallips (Hood Canal)","WDFW-PSALMDOSEWHC-1959-1997-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Dosewallips (Hood Canal)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMDUCKA","Pink salmon Duckabush (Hood Canal)","WDFW-PSALMDUCKA-1959-1997-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Duckabush (Hood Canal)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMDUNGENHC","Pink salmon Dungeness (Juan de Fuca)","WDFW-PSALMDUNGENHC-1959-1997-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Dungeness (Juan de Fuca)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMEBEHM","Pink salmon EBehm (District 101)","ADFG-PSALMEBEHM-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","EBehm (District 101)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMEDALL","Pink salmon EDall (District103)","ADFG-PSALMEDALL-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","EDall (District103)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMELIZAH","Pink salmon Eliza Hbr (District109)","ADFG-PSALMELIZAH-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Eliza Hbr (District109)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMESHAMYD","Pink salmon Eshamy District","ADFG-PSALMESHAMYD-1965-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Eshamy District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMESND","Pink salmon Eastside-Northend District","ADFG-PSALMESND-1978-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Eastside-Northend District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMFARRAGUT","Pink salmon Farragut (District110)","ADFG-PSALMFARRAGUT-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Farragut (District110)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMFRESHWB","Pink salmon Freshw By (District112)","ADFG-PSALMFRESHWB-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Freshw By (District112)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMGOLOVIN","Pink salmon Golovin","ADFG-PSALMGOLOVIN-1962-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Golovin","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMHETTA","Pink salmon Hetta (District103)","ADFG-PSALMHETTA-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Hetta (District103)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMHHAMMAHC","Pink salmon Hamma Hamma (Hood Canal)","WDFW-PSALMHHAMMAHC-1959-1997-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Hamma Hamma (Hood Canal)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMHOMES","Pink salmon Homeshor (District114)","ADFG-PSALMHOMES-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Homeshor (District114)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMHOONAHS","Pink salmon Hoonah S (District113)","ADFG-PSALMHOONAHS-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Hoonah S (District113)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMHOUGHTON","Pink salmon Houghton (District110)","ADFG-PSALMHOUGHTON-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Houghton (District110)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMHUMPCY","Pink salmon Humpy Creek (Yakutat)","ADFG-PSALMHUMPCY-1962-1994-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Humpy Creek (Yakutat)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMHUMPYCCISD","Pink salmon Humpy Creek (Cook Inlet Southern D)","ADFG-PSALMHUMPYCCISD-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Humpy Creek (Cook Inlet Southern D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMIGUSHIK","Pink salmon Igushik River","ADFG-PSALMIGUSHIK-1962-1984-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Igushik River","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMJAMESLOD","Pink salmon James Lagoon (Outer D)","ADFG-PSALMJAMESLOD-1980-1995-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","James Lagoon (Outer D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMKASAAN","Pink salmon Kasaan (District102)","ADFG-PSALMKASAAN-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kasaan (District102)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMKELPB","Pink salmon Kelp By (District112)","ADFG-PSALMKELPB-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kelp By (District112)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMKLAWOCK","Pink salmon Klawock (District103)","ADFG-PSALMKLAWOCK-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Klawock (District103)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMKODIAKMD","Pink salmon Kodiak Mainland District","ADFG-PSALMKODIAKMD-1980-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kodiak Mainland District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMKODIAKWD","Pink salmon Kodiak Westside District","ADFG-PSALMKODIAKWD-1978-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kodiak Westside District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMKUSKOKWIM","Pink salmon Kuskokwim","ADFG-PSALMKUSKOKWIM-1960-2003-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kuskokwim","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMLISIANSKI","Pink salmon Lisianski (District113)","ADFG-PSALMLISIANSKI-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Lisianski (District113)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMLKAMR","Pink salmon Little Kamishak River (Kamishak D)","ADFG-PSALMLKAMR-1962-1989-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Little Kamishak River (Kamishak D)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMLYNNCD112","Pink salmon Lynn Cnl (District112)","ADFG-PSALMLYNNCD112-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Lynn Cnl (District112)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMLYNNCD115","Pink salmon Lynn Cnl (District115)","ADFG-PSALMLYNNCD115-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Lynn Cnl (District115)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMMOIRA","Pink salmon Moira (District102)","ADFG-PSALMMOIRA-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Moira (District102)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMMONTD","Pink salmon Montague District","ADFG-PSALMMONTD-1965-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Montague District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMMPNBNS","Pink salmon Moses Point and Norton Bay (Norton Sound)","ADFG-PSALMMPNBNS-1961-2003-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Moses Point and Norton Bay (Norton Sound)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMNCHICHAGO","Pink salmon Nchichago (District114)","ADFG-PSALMNCHICHAGO-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Nchichago (District114)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMNISQPS","Pink salmon Nisqually (Puget Sound)","WDFW-PSALMNISQPS-1959-1997-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Nisqually (Puget Sound)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMNOME","Pink salmon Nome (Norton Sound)","ADFG-PSALMNOME-1965-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Nome (Norton Sound)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMNOOKSPS","Pink salmon Nooksack (Puget Sound)","WDFW-PSALMNOOKSPS-1959-1997-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Nooksack (Puget Sound)","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMNUNAKWIKD","Pink salmon Northern/Unakwik District","ADFG-PSALMNUNAKWIKD-1965-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Northern/Unakwik District","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
"PSALMNUSHAGAKR","Pink salmon Nushagak River","ADFG-PSALMNUSHAGAKR-1960-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Nushagak River","Salmonidae","Oncorhynchus gorbuscha","Pink salmon"
