"fmc","fmp","biomass","bbmsy","value","f","u","catch"
"NPFMC","Groundfish",0.3,0.6,"ABC/ACL",0.0548983739480253,0.0534186596099309,0.0160255978829793
"NPFMC","Groundfish",0.31,0.62,"ABC/ACL",0.0568946784552262,0.0553064392877076,0.0171449961791894
"NPFMC","Groundfish",0.32,0.64,"ABC/ACL",0.0588909829624271,0.0571904541415229,0.0183009453252873
"NPFMC","Groundfish",0.33,0.66,"ABC/ACL",0.060887287469628,0.0590707116796148,0.0194933348542729
"NPFMC","Groundfish",0.34,0.68,"ABC/ACL",0.062883591976829,0.0609472193952477,0.0207220545943842
"NPFMC","Groundfish",0.35,0.7,"ABC/ACL",0.0648798964840299,0.0628199847667422,0.0219869946683598
"NPFMC","Groundfish",0.36,0.72,"ABC/ACL",0.0668762009912308,0.0646890152575047,0.0232880454927017
"NPFMC","Groundfish",0.37,0.74,"ABC/ACL",0.0688725054984317,0.0665543183160571,0.0246250977769411
"NPFMC","Groundfish",0.38,0.76,"ABC/ACL",0.0708688100056326,0.0684159013760668,0.0259980425229054
"NPFMC","Groundfish",0.39,0.78,"ABC/ACL",0.0728651145128335,0.070273771856376,0.0274067710239866
"NPFMC","Groundfish",0.4,0.8,"ABC/ACL",0.0748614190200345,0.0721279371610314,0.0288511748644126
"NPFMC","Groundfish",0.41,0.82,"ABC/ACL",0.0768577235272354,0.0739784046793139,0.0303311459185187
"NPFMC","Groundfish",0.42,0.84,"ABC/ACL",0.0788540280344363,0.0758251817857678,0.0318465763500225
"NPFMC","Groundfish",0.43,0.86,"ABC/ACL",0.0808503325416372,0.0776682758402301,0.0333973586112989
"NPFMC","Groundfish",0.44,0.88,"ABC/ACL",0.0828466370488381,0.07950769418786,0.0349833854426584
"NPFMC","Groundfish",0.45,0.9,"ABC/ACL",0.0848429415560391,0.0813434441591683,0.0366045498716257
"NPFMC","Groundfish",0.46,0.92,"ABC/ACL",0.08683924606324,0.0831755330700462,0.0382607452122213
"NPFMC","Groundfish",0.47,0.94,"ABC/ACL",0.0888355505704409,0.0850039682217952,0.0399518650642438
"NPFMC","Groundfish",0.48,0.96,"ABC/ACL",0.0908318550776418,0.0868287569011552,0.0416778033125545
"NPFMC","Groundfish",0.49,0.98,"ABC/ACL",0.0928281595848427,0.0886499063803344,0.0434384541263639
"NPFMC","Groundfish",0.5,1,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0452337119585189
"NPFMC","Groundfish",0.51,1.02,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0461383861976893
"NPFMC","Groundfish",0.52,1.04,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0470430604368596
"NPFMC","Groundfish",0.53,1.06,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.04794773467603
"NPFMC","Groundfish",0.54,1.08,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0488524089152004
"NPFMC","Groundfish",0.55,1.1,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0497570831543708
"NPFMC","Groundfish",0.56,1.12,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0506617573935412
"NPFMC","Groundfish",0.57,1.14,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0515664316327115
"NPFMC","Groundfish",0.58,1.16,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0524711058718819
"NPFMC","Groundfish",0.59,1.18,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0533757801110523
"NPFMC","Groundfish",0.6,1.2,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0542804543502227
"NPFMC","Groundfish",0.61,1.22,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.055185128589393
"NPFMC","Groundfish",0.62,1.24,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0560898028285634
"NPFMC","Groundfish",0.63,1.26,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0569944770677338
"NPFMC","Groundfish",0.64,1.28,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0578991513069042
"NPFMC","Groundfish",0.65,1.3,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0588038255460746
"NPFMC","Groundfish",0.66,1.32,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0597084997852449
"NPFMC","Groundfish",0.67,1.34,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0606131740244153
"NPFMC","Groundfish",0.68,1.36,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0615178482635857
"NPFMC","Groundfish",0.69,1.38,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0624225225027561
"NPFMC","Groundfish",0.7,1.4,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0633271967419264
"NPFMC","Groundfish",0.71,1.42,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0642318709810968
"NPFMC","Groundfish",0.72,1.44,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0651365452202672
"NPFMC","Groundfish",0.73,1.46,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0660412194594376
"NPFMC","Groundfish",0.74,1.48,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.066945893698608
"NPFMC","Groundfish",0.75,1.5,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0678505679377783
"NPFMC","Groundfish",0.76,1.52,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0687552421769487
"NPFMC","Groundfish",0.77,1.54,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0696599164161191
"NPFMC","Groundfish",0.78,1.56,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0705645906552895
"NPFMC","Groundfish",0.79,1.58,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0714692648944598
"NPFMC","Groundfish",0.8,1.6,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0723739391336302
"NPFMC","Groundfish",0.81,1.62,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0732786133728006
"NPFMC","Groundfish",0.82,1.64,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.074183287611971
"NPFMC","Groundfish",0.83,1.66,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0750879618511414
"NPFMC","Groundfish",0.84,1.68,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0759926360903117
"NPFMC","Groundfish",0.85,1.7,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0768973103294821
"NPFMC","Groundfish",0.86,1.72,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0778019845686525
"NPFMC","Groundfish",0.87,1.74,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0787066588078229
"NPFMC","Groundfish",0.88,1.76,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0796113330469932
"NPFMC","Groundfish",0.89,1.78,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0805160072861636
"NPFMC","Groundfish",0.9,1.8,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.081420681525334
"NPFMC","Groundfish",0.91,1.82,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0823253557645044
"NPFMC","Groundfish",0.92,1.84,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0832300300036748
"NPFMC","Groundfish",0.93,1.86,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0841347042428451
"NPFMC","Groundfish",0.94,1.88,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0850393784820155
"NPFMC","Groundfish",0.95,1.9,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0859440527211859
"NPFMC","Groundfish",0.96,1.92,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0868487269603563
"NPFMC","Groundfish",0.97,1.94,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0877534011995266
"NPFMC","Groundfish",0.98,1.96,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.088658075438697
"NPFMC","Groundfish",0.99,1.98,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0895627496778674
"NPFMC","Groundfish",1,2,"ABC/ACL",0.0948244640920437,0.0904674239170378,0.0904674239170378
