"fmc","fmp","sst_c","biomass","emsy","limit_type","catch","u","sst_label"
"PFMC","Sardine",16,4640000,0.2251248,"OFL",908783.792639999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4650000,0.2251248,"OFL",910742.378399999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4660000,0.2251248,"OFL",912700.964159999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4670000,0.2251248,"OFL",914659.549919999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4680000,0.2251248,"OFL",916618.135679999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4690000,0.2251248,"OFL",918576.721439999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4700000,0.2251248,"OFL",920535.307199999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4710000,0.2251248,"OFL",922493.892959999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4720000,0.2251248,"OFL",924452.478719999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4730000,0.2251248,"OFL",926411.064479999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4740000,0.2251248,"OFL",928369.650239999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4750000,0.2251248,"OFL",930328.235999999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4760000,0.2251248,"OFL",932286.821759999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4770000,0.2251248,"OFL",934245.407519999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4780000,0.2251248,"OFL",936203.993279999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4790000,0.2251248,"OFL",938162.579039999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4800000,0.2251248,"OFL",940121.164799999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4810000,0.2251248,"OFL",942079.750559999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4820000,0.2251248,"OFL",944038.336319999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4830000,0.2251248,"OFL",945996.922079999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4840000,0.2251248,"OFL",947955.507839999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4850000,0.2251248,"OFL",949914.093599999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4860000,0.2251248,"OFL",951872.679359999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4870000,0.2251248,"OFL",953831.265119999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4880000,0.2251248,"OFL",955789.850879999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4890000,0.2251248,"OFL",957748.436639999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4900000,0.2251248,"OFL",959707.022399999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4910000,0.2251248,"OFL",961665.608159999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4920000,0.2251248,"OFL",963624.193919999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4930000,0.2251248,"OFL",965582.779679999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4940000,0.2251248,"OFL",967541.365439999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4950000,0.2251248,"OFL",969499.951199999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4960000,0.2251248,"OFL",971458.536959999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4970000,0.2251248,"OFL",973417.122719999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4980000,0.2251248,"OFL",975375.708479999,0.2251248,"16.0°C"
"PFMC","Sardine",16,4990000,0.2251248,"OFL",977334.294239999,0.2251248,"16.0°C"
"PFMC","Sardine",16,5e+06,0.2251248,"OFL",979292.879999999,0.2251248,"16.0°C"
"PFMC","Sardine",16,0,0.2251248,"ABC",0,NA,"16.0°C"
"PFMC","Sardine",16,10000,0.2251248,"ABC",1814.7668076432,0.208593885936,"16.0°C"
"PFMC","Sardine",16,20000,0.2251248,"ABC",3629.5336152864,0.208593885936,"16.0°C"
"PFMC","Sardine",16,30000,0.2251248,"ABC",5444.30042292959,0.208593885936,"16.0°C"
"PFMC","Sardine",16,40000,0.2251248,"ABC",7259.06723057279,0.208593885936,"16.0°C"
"PFMC","Sardine",16,50000,0.2251248,"ABC",9073.83403821599,0.208593885936,"16.0°C"
"PFMC","Sardine",16,60000,0.2251248,"ABC",10888.6008458592,0.208593885936,"16.0°C"
"PFMC","Sardine",16,70000,0.2251248,"ABC",12703.3676535024,0.208593885936,"16.0°C"
"PFMC","Sardine",16,80000,0.2251248,"ABC",14518.1344611456,0.208593885936,"16.0°C"
"PFMC","Sardine",16,90000,0.2251248,"ABC",16332.9012687888,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1e+05,0.2251248,"ABC",18147.668076432,0.208593885936,"16.0°C"
"PFMC","Sardine",16,110000,0.2251248,"ABC",19962.4348840752,0.208593885936,"16.0°C"
"PFMC","Sardine",16,120000,0.2251248,"ABC",21777.2016917184,0.208593885936,"16.0°C"
"PFMC","Sardine",16,130000,0.2251248,"ABC",23591.9684993616,0.208593885936,"16.0°C"
"PFMC","Sardine",16,140000,0.2251248,"ABC",25406.7353070048,0.208593885936,"16.0°C"
"PFMC","Sardine",16,150000,0.2251248,"ABC",27221.502114648,0.208593885936,"16.0°C"
"PFMC","Sardine",16,160000,0.2251248,"ABC",29036.2689222912,0.208593885936,"16.0°C"
"PFMC","Sardine",16,170000,0.2251248,"ABC",30851.0357299344,0.208593885936,"16.0°C"
"PFMC","Sardine",16,180000,0.2251248,"ABC",32665.8025375776,0.208593885936,"16.0°C"
"PFMC","Sardine",16,190000,0.2251248,"ABC",34480.5693452207,0.208593885936,"16.0°C"
"PFMC","Sardine",16,2e+05,0.2251248,"ABC",36295.336152864,0.208593885936,"16.0°C"
"PFMC","Sardine",16,210000,0.2251248,"ABC",38110.1029605071,0.208593885936,"16.0°C"
"PFMC","Sardine",16,220000,0.2251248,"ABC",39924.8697681503,0.208593885936,"16.0°C"
"PFMC","Sardine",16,230000,0.2251248,"ABC",41739.6365757935,0.208593885936,"16.0°C"
"PFMC","Sardine",16,240000,0.2251248,"ABC",43554.4033834367,0.208593885936,"16.0°C"
"PFMC","Sardine",16,250000,0.2251248,"ABC",45369.1701910799,0.208593885936,"16.0°C"
"PFMC","Sardine",16,260000,0.2251248,"ABC",47183.9369987231,0.208593885936,"16.0°C"
"PFMC","Sardine",16,270000,0.2251248,"ABC",48998.7038063663,0.208593885936,"16.0°C"
"PFMC","Sardine",16,280000,0.2251248,"ABC",50813.4706140095,0.208593885936,"16.0°C"
"PFMC","Sardine",16,290000,0.2251248,"ABC",52628.2374216527,0.208593885936,"16.0°C"
"PFMC","Sardine",16,3e+05,0.2251248,"ABC",54443.0042292959,0.208593885936,"16.0°C"
"PFMC","Sardine",16,310000,0.2251248,"ABC",56257.7710369391,0.208593885936,"16.0°C"
"PFMC","Sardine",16,320000,0.2251248,"ABC",58072.5378445823,0.208593885936,"16.0°C"
"PFMC","Sardine",16,330000,0.2251248,"ABC",59887.3046522255,0.208593885936,"16.0°C"
"PFMC","Sardine",16,340000,0.2251248,"ABC",61702.0714598687,0.208593885936,"16.0°C"
"PFMC","Sardine",16,350000,0.2251248,"ABC",63516.8382675119,0.208593885936,"16.0°C"
"PFMC","Sardine",16,360000,0.2251248,"ABC",65331.6050751551,0.208593885936,"16.0°C"
"PFMC","Sardine",16,370000,0.2251248,"ABC",67146.3718827983,0.208593885936,"16.0°C"
"PFMC","Sardine",16,380000,0.2251248,"ABC",68961.1386904415,0.208593885936,"16.0°C"
"PFMC","Sardine",16,390000,0.2251248,"ABC",70775.9054980847,0.208593885936,"16.0°C"
"PFMC","Sardine",16,4e+05,0.2251248,"ABC",72590.6723057279,0.208593885936,"16.0°C"
"PFMC","Sardine",16,410000,0.2251248,"ABC",74405.4391133711,0.208593885936,"16.0°C"
"PFMC","Sardine",16,420000,0.2251248,"ABC",76220.2059210143,0.208593885936,"16.0°C"
"PFMC","Sardine",16,430000,0.2251248,"ABC",78034.9727286575,0.208593885936,"16.0°C"
"PFMC","Sardine",16,440000,0.2251248,"ABC",79849.7395363007,0.208593885936,"16.0°C"
"PFMC","Sardine",16,450000,0.2251248,"ABC",81664.5063439439,0.208593885936,"16.0°C"
"PFMC","Sardine",16,460000,0.2251248,"ABC",83479.2731515871,0.208593885936,"16.0°C"
"PFMC","Sardine",16,470000,0.2251248,"ABC",85294.0399592303,0.208593885936,"16.0°C"
"PFMC","Sardine",16,480000,0.2251248,"ABC",87108.8067668735,0.208593885936,"16.0°C"
"PFMC","Sardine",16,490000,0.2251248,"ABC",88923.5735745167,0.208593885936,"16.0°C"
"PFMC","Sardine",16,5e+05,0.2251248,"ABC",90738.3403821599,0.208593885936,"16.0°C"
"PFMC","Sardine",16,510000,0.2251248,"ABC",92553.1071898031,0.208593885936,"16.0°C"
"PFMC","Sardine",16,520000,0.2251248,"ABC",94367.8739974463,0.208593885936,"16.0°C"
"PFMC","Sardine",16,530000,0.2251248,"ABC",96182.6408050895,0.208593885936,"16.0°C"
"PFMC","Sardine",16,540000,0.2251248,"ABC",97997.4076127327,0.208593885936,"16.0°C"
"PFMC","Sardine",16,550000,0.2251248,"ABC",99812.1744203759,0.208593885936,"16.0°C"
"PFMC","Sardine",16,560000,0.2251248,"ABC",101626.941228019,0.208593885936,"16.0°C"
"PFMC","Sardine",16,570000,0.2251248,"ABC",103441.708035662,0.208593885936,"16.0°C"
"PFMC","Sardine",16,580000,0.2251248,"ABC",105256.474843305,0.208593885936,"16.0°C"
"PFMC","Sardine",16,590000,0.2251248,"ABC",107071.241650949,0.208593885936,"16.0°C"
"PFMC","Sardine",16,6e+05,0.2251248,"ABC",108886.008458592,0.208593885936,"16.0°C"
"PFMC","Sardine",16,610000,0.2251248,"ABC",110700.775266235,0.208593885936,"16.0°C"
"PFMC","Sardine",16,620000,0.2251248,"ABC",112515.542073878,0.208593885936,"16.0°C"
"PFMC","Sardine",16,630000,0.2251248,"ABC",114330.308881521,0.208593885936,"16.0°C"
